date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-02-12, Event Sales Consultant,,Former Employee ,Not the culture they say it is,Not the culture they say it is,0,Pay is good but commission is awful compared to how much you are selling for these people. 1.5% when you are selling $500k a month.,"Have to be in “the club” for promotions, the culture they promote is actually the complete opposite, turnover is ridiculous",Quit trying to be a brand and go back to caring about your employees,2.0,1.0,1.0,2.0,3.0,1.0
2019-02-08, Kitchen Manager,"Austin, TX",Former Employee ,Solid concept but needs to utilize a system of accountability for upper management,Solid concept but needs to utilize a system of accountability for upper management,0,"Tons of advancement opportunity, travel, and great benefits","Lack of accountability for upper management, favoritism plays huge role in advancement, and core values aren't geared to encourage the change needed for equality and strong moral ethics",,2.0,2.0,2.0,4.0,2.0,1.0
2019-01-25,,,Former Employee ,Great place to work,Great place to work,0,"People, Pay, fun place, good management","None, best job I’ve had",,4.0,,,,,
2019-02-05, Administrative Assistant,,Current Employee ,Great Place to work,Great Place to work,0,The associates and the culture are amazing,Management could use some work.,Hire people that deserve the positions,3.0,2.0,5.0,3.0,3.0,2.0
2019-02-06, Bayhost,,Former Employee ,Not bad,Not bad,0,Make a good amount of tips,The shift hours are very long depending on the time you work.,,3.0,3.0,4.0,3.0,3.0,3.0
2019-01-21, Server/Waitress,"Scottsdale, AZ",Current Employee ,Perfect,Perfect,0,I had a great experience there.,There wasn’t anything to share with community,,5.0,5.0,5.0,5.0,5.0,5.0
2019-01-17, Food Runner,,Former Employee ,Cool Job,Cool Job,0,Lots of fun and hours,A lot of running around,,5.0,4.0,5.0,4.0,5.0,3.0
2019-01-17, Bayhost,,Current Employee ,Topgolf’s version of a server,Topgolf’s version of a server,0,Everyone is like your family,Sometimes long hours and double shifts with minimal to no breaks.,,5.0,4.0,5.0,5.0,4.0,3.0
2019-01-31, Guest Services,"Overland Park, KS",Former Employee ,Decent Job,Decent Job,0,Develop better task based and communication skills. Fairly fun environment.,"Barely little rest for 9 hour shift, be ready to be constantly walking around. Went out of my way more than a handful of times to rise above and make a guest experience better but you never get recognized for it.","Actually be up in your department and watching your team to see who is doing what and how, not just reply when you're called for.",3.0,3.0,4.0,2.0,2.0,3.0
2019-01-29, Golf Services,"El Paso, TX",Current Employee ,Great for First Time Job,Great for First Time Job,0,"Great atmosphere, team building anc culture","lack of hours to work,",,3.0,3.0,4.0,3.0,3.0,3.0
2019-01-25, Bayhost ,"Edison, NJ",Former Employee ,Fun environment,Fun environment,0,Really fun environment. It's always like one big party . Alot of your fellow associates end up becoming your best friends or like family .you can move up really easily and fast at this job which is a major plus .not like most restaurant jobs so that can be a plus or a minus .I really enjoyed working here and the whole concept was different but cool at the same time .it is always packed so it can be hectic at times if your not used to it . Easy for first timers in the hospitality industry.,"Alot of favoritism at this job. Because this job is all fun and games literally all the time it breeds nothing but favoritism. Alot of the managers would never scold or warn their favorites who would constantly no call no show or be late .but would do this to the hardest working employees. When ever there is a problem good luck finding a manager for help. It would always take over 25 minutes to get a manager and there is multiple on each floor but they would be too busy goofing off. Managers always clueless on food issues or low stock of something. Really long hours in extreme weather conditions . Pay isnt really consistent either end up paying out alot of people like food runner, drink runner busser, barback,so it does take its toll from time to time .",Work as a team .this helps everyone so much in the long run. Stop goofing off in the hub actually do what your getting paid for . Engage with the guest be on the floor to help other fellow associates . Respect your hard working bayhost more . Stop picking who you let slide and get away with things just because they are your favorite. Be on the floor more and work together as a team please .,3.0,2.0,5.0,4.0,3.0,2.0
